127.0.0.1 - - [15/Nov/2016:13:13:08 -0600] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [15/Nov/2016:13:13:09 -0600] "GET /AdministradordeTareas/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:13:13:09 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:13:13:09 -0600] "GET /AdministradordeTareas/css/app.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:13:13:09 -0600] "GET /AdministradordeTareas/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:13:13:09 -0600] "GET /AdministradordeTareas/js/jquery-3.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:13:13:09 -0600] "GET /AdministradordeTareas/js/angular-ui-router.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:13:13:09 -0600] "GET /AdministradordeTareas/js/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:13:13:09 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:13:13:09 -0600] "GET /AdministradordeTareas/app/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:13:13:09 -0600] "GET /AdministradordeTareas/js/angular-mocks.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:13:13:09 -0600] "GET /AdministradordeTareas/app/MainCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:13:13:09 -0600] "GET /AdministradordeTareas/app/Tareas/tareasCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:13:13:09 -0600] "GET /AdministradordeTareas/servicios/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:13:13:09 -0600] "GET /AdministradordeTareas/servicios/tareasResource.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:13:13:09 -0600] "GET /AdministradordeTareas/servicios/tareasResourceMock.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:13:13:14 -0600] "GET /AdministradordeTareas/ HTTP/1.1" 200 1940
0:0:0:0:0:0:0:1 - - [15/Nov/2016:13:13:14 -0600] "GET /AdministradordeTareas/css/app.css HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [15/Nov/2016:13:13:14 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [15/Nov/2016:13:13:14 -0600] "GET /AdministradordeTareas/js/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [15/Nov/2016:13:13:15 -0600] "GET /AdministradordeTareas/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [15/Nov/2016:13:13:15 -0600] "GET /AdministradordeTareas/js/angular-ui-router.min.js HTTP/1.1" 200 32961
0:0:0:0:0:0:0:1 - - [15/Nov/2016:13:13:15 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js HTTP/1.1" 200 4510
0:0:0:0:0:0:0:1 - - [15/Nov/2016:13:13:15 -0600] "GET /AdministradordeTareas/js/angular.min.js HTTP/1.1" 200 160048
0:0:0:0:0:0:0:1 - - [15/Nov/2016:13:13:15 -0600] "GET /AdministradordeTareas/app/MainCtrl.js HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [15/Nov/2016:13:13:15 -0600] "GET /AdministradordeTareas/js/angular-mocks.js HTTP/1.1" 200 111629
0:0:0:0:0:0:0:1 - - [15/Nov/2016:13:13:15 -0600] "GET /AdministradordeTareas/servicios/common.js HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [15/Nov/2016:13:13:15 -0600] "GET /AdministradordeTareas/servicios/tareasResource.js HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [15/Nov/2016:13:13:15 -0600] "GET /AdministradordeTareas/servicios/tareasResourceMock.js HTTP/1.1" 200 847
0:0:0:0:0:0:0:1 - - [15/Nov/2016:13:13:15 -0600] "GET /AdministradordeTareas/app/app.js HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [15/Nov/2016:13:13:15 -0600] "GET /AdministradordeTareas/app/Tareas/tareasCtrl.js HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [15/Nov/2016:13:13:15 -0600] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [15/Nov/2016:13:13:19 -0600] "GET /AdministradordeTareas/js/angular.min.js.map HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [15/Nov/2016:13:13:19 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js.map HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [15/Nov/2016:13:13:19 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css.map HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [15/Nov/2016:13:13:32 -0600] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [15/Nov/2016:13:23:37 -0600] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:19:18 -0600] "GET /AdministradordeTareas/ HTTP/1.1" 200 1940
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:19:18 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:19:18 -0600] "GET /AdministradordeTareas/css/app.css HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:19:19 -0600] "GET /AdministradordeTareas/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:19:19 -0600] "GET /AdministradordeTareas/js/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:19:19 -0600] "GET /AdministradordeTareas/js/angular.min.js HTTP/1.1" 200 160048
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:19:19 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js HTTP/1.1" 200 4510
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:19:19 -0600] "GET /AdministradordeTareas/js/angular-ui-router.min.js HTTP/1.1" 200 32961
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:19:19 -0600] "GET /AdministradordeTareas/servicios/common.js HTTP/1.1" 200 88
